NESTLEIND-III,20240802,2525.0,2544.1,2505.0,2527.55,119
NIFTY-I,20240802,24824.95,24884.8,24670.0,24711.55,329256
NIFTY-II,20240802,24936.0,25007.45,24801.0,24835.8,25326
NIFTY-III,20240802,25101.0,25129.3,24930.1,24962.3,7195
NIFTYNXT50-I,20240802,73800.05,74270.45,73513.0,73603.5,619
NIFTYNXT50-II,20240802,74000.0,74488.9,73928.05,73928.05,47
NIFTYNXT50-III,20240802,0.0,0.0,0.0,75750.0,0
NMDC-I,20240802,239.54,241.0,234.43,236.33,5256
NMDC-II,20240802,240.18,241.8,235.02,236.99,387
NMDC-III,20240802,241.25,243.0,237.26,238.7,43
NTPC-I,20240802,417.0,424.3,412.55,417.65,23332
NTPC-II,20240802,418.4,426.85,415.8,420.4,844
NTPC-III,20240802,420.05,429.0,418.05,423.2,144
OBEROIRLTY-I,20240802,1815.3,1832.55,1784.6,1788.75,2205
OBEROIRLTY-II,20240802,1825.25,1839.9,1792.75,1796.6,173
OBEROIRLTY-III,20240802,1839.05,1839.05,1796.65,1796.65,5
OFSS-I,20240802,10832.4,10895.8,10383.5,10443.3,5275
